method,scenario_id,stage_id,path_stage,attack_effect_success,defense_success,defense_confirmed,defender_strategy_id,final_defender_strategy_id,defender_action
llm_defender,sen4_edge2_clouddb,10,0.0,False,True,False,D0_observe,D0_observe,observe
baseline_game,sen4_edge2_clouddb,10,0.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,11,0.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
llm_defender,sen4_edge2_clouddb,11,0.0,False,True,False,D0_observe,D0_observe,observe
llm_defender,sen4_edge2_clouddb,12,0.0,False,True,False,D2_rate_limit_sen4,D2_rate_limit_sen4,rate_limit
baseline_game,sen4_edge2_clouddb,12,0.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,13,0.0,False,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
llm_defender,sen4_edge2_clouddb,13,0.0,False,True,True,D2_rate_limit_sen4,D2_rate_limit_sen4,rate_limit
llm_defender,sen4_edge2_clouddb,14,0.0,False,True,False,D0_observe,D0_observe,observe
baseline_game,sen4_edge2_clouddb,14,0.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,15,0.0,False,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
llm_defender,sen4_edge2_clouddb,15,0.0,False,True,False,D0_observe,D0_observe,observe
llm_defender,sen4_edge2_clouddb,16,0.0,False,True,False,D0_observe,D0_observe,observe
baseline_game,sen4_edge2_clouddb,16,0.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
llm_defender,sen4_edge2_clouddb,17,2.0,True,False,True,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,isolate_sensor
baseline_game,sen4_edge2_clouddb,17,0.0,False,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,18,0.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
llm_defender,sen4_edge2_clouddb,18,2.0,True,False,False,D3_isolate_edge2_gw_for_sen4,D3_isolate_edge2_gw_for_sen4,isolate_sensor
llm_defender,sen4_edge2_clouddb,19,2.0,True,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,19,0.0,False,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,20,0.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
llm_defender,sen4_edge2_clouddb,20,2.0,True,False,False,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,isolate_sensor
llm_defender,sen4_edge2_clouddb,21,2.0,True,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,21,0.0,False,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,22,0.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
llm_defender,sen4_edge2_clouddb,22,0.0,False,True,True,D2_rate_limit_sen4,D2_rate_limit_sen4,rate_limit
baseline_game,sen4_edge2_clouddb,23,3.0,True,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,24,2.0,True,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,25,0.0,False,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,26,0.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,27,0.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,28,0.0,False,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,29,0.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,30,0.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,31,2.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,32,2.0,True,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,33,3.0,True,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,34,3.0,True,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,35,0.0,False,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,36,0.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,37,0.0,False,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,38,0.0,False,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,39,3.0,True,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,40,3.0,True,False,False,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
baseline_game,sen4_edge2_clouddb,41,2.0,True,False,True,D1_quarantine_sen4,D1_quarantine_sen4,quarantine_sensor
